model,bucket,ndcg_at_10,n_users
Popularity,head,0.10716319367155894,668
Popularity,torso,0.0,576
Popularity,tail,0.0,347
ContentBased,head,0.006470570196702914,668
ContentBased,torso,0.008760747321655335,576
ContentBased,tail,0.0021056349864607164,347
UserCF,head,0.12315891164099473,668
UserCF,torso,0.008756615456887091,576
UserCF,tail,0.0009606147934678194,347
ItemCF,head,0.09697720782917961,668
ItemCF,torso,0.026053527481384293,576
ItemCF,tail,0.005358692961493024,347
SVD,head,0.09998448213601818,668
SVD,torso,0.012961260079179127,576
SVD,tail,0.0,347
ALS,head,0.15712540744684292,668
ALS,torso,0.03892375195841738,576
ALS,tail,0.00032520213645226303,347
NCF,head,0.09567564787362907,668
NCF,torso,0.0,576
NCF,tail,0.0,347
Hybrid,head,0.17696021110073032,668
Hybrid,torso,0.03393996185374765,576
Hybrid,tail,0.005933478095812023,347
