model,tier,ndcg_at_10,n_users
Popularity,cold,0.03448772545025806,315
Popularity,moderate,0.06294541942535467,313
Popularity,active,0.09400409373810717,315
ContentBased,cold,0.0068761452896457876,315
ContentBased,moderate,0.007366632248785672,313
ContentBased,active,0.010203076953947945,315
UserCF,cold,0.03258311190763779,315
UserCF,moderate,0.0776201708115865,313
UserCF,active,0.11531250255380159,315
ItemCF,cold,0.027269037599383435,315
ItemCF,moderate,0.08094535422402346,313
ItemCF,active,0.0998572660725456,315
SVD,cold,0.02999844519714262,315
SVD,moderate,0.0730330060838622,313
SVD,active,0.08662142397456261,315
ALS,cold,0.09202961587337925,315
ALS,moderate,0.10815397840699147,313
ALS,active,0.1208750843794753,315
NCF,cold,0.01918287110206182,315
NCF,moderate,0.051836675513870466,313
NCF,active,0.09448974208205511,315
Hybrid,cold,0.07904448089390502,315
Hybrid,moderate,0.12027670646043348,313
Hybrid,active,0.15040454318329458,315
